Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,19735.5,19735.5,19365.099609375,19502.5,19460.83203125,61263
2020-09-14,19512.30078125,19985.0,19500.0,19789.5,19747.21875,60868
2020-09-15,19779.0,20147.900390625,19600.0,20065.25,20022.380859375,71895
2020-09-16,20065.25,20492.55078125,19946.150390625,20387.849609375,20344.291015625,51068
2020-09-17,20375.0,20375.0,19795.94921875,19888.400390625,19845.908203125,65445
2020-09-18,19915.0,20108.55078125,19399.5,19520.94921875,19479.2421875,82189
2020-09-21,19520.94921875,19600.0,18707.650390625,18903.69921875,18863.310546875,35929
2020-09-22,19075.0,19187.19921875,18424.0,18982.44921875,18941.892578125,71503
2020-09-23,18985.5,19115.30078125,18536.80078125,18951.849609375,18911.359375,45567
2020-09-24,18800.0,18846.900390625,18183.55078125,18341.94921875,18302.76171875,64615
2020-09-25,18391.5,19150.0,18364.55078125,19008.44921875,18967.837890625,55983
2020-09-28,19200.0,19655.0,19080.0,19533.150390625,19491.41796875,40663
2020-09-29,19599.0,19970.0,19351.400390625,19834.650390625,19792.2734375,90411
2020-09-30,19860.0,20535.0,19661.849609375,20256.94921875,20213.669921875,121119
2020-10-01,20400.0,20659.94921875,20325.0,20611.0,20566.96484375,71915
2020-10-05,20600.0,20719.05078125,20000.0,20131.80078125,20088.7890625,63076
2020-10-06,20155.0,20446.44921875,20001.0,20296.94921875,20253.583984375,58671
2020-10-07,20325.0,20800.0,20097.94921875,20712.5,20668.248046875,78989
2020-10-08,20721.19921875,20850.0,20490.0,20735.55078125,20691.248046875,63457
2020-10-09,20800.0,21250.0,20686.5,21198.5,21153.208984375,90353
2020-10-12,21165.0,21397.94921875,20845.05078125,20956.099609375,20911.326171875,56254
2020-10-13,20951.0,21700.0,20850.0,21088.0,21042.9453125,115699
2020-10-14,21088.0,21320.0,20651.400390625,21135.900390625,21090.7421875,69326
2020-10-15,21260.0,21260.0,20505.19921875,20642.25,20598.146484375,55002
2020-10-16,20780.0,21324.55078125,20650.0,21177.44921875,21132.203125,85124
2020-10-19,21200.0,21400.0,21022.099609375,21102.25,21057.1640625,48532
2020-10-20,21197.0,21550.0,21100.099609375,21184.80078125,21139.5390625,70614
2020-10-21,21250.0,21426.94921875,20680.150390625,21147.5,21102.318359375,57076
2020-10-22,21200.0,21290.0,20901.69921875,20991.69921875,20946.849609375,51638
2020-10-23,21165.0,21272.30078125,20257.05078125,20521.150390625,20477.306640625,78234
2020-10-26,20665.69921875,20809.75,20113.099609375,20424.69921875,20381.060546875,65851
2020-10-27,20548.5,22100.0,20424.75,21734.349609375,21687.9140625,239232
2020-10-28,21560.19921875,21788.0,21231.19921875,21361.19921875,21315.560546875,80646
2020-10-29,21299.0,21799.94921875,21105.05078125,21677.0,21630.685546875,71428
2020-10-30,21738.0,22050.0,21519.94921875,21694.55078125,21648.19921875,86132
2020-11-02,21694.55078125,21898.55078125,21512.099609375,21671.349609375,21625.048828125,46682
